1.37E-01	-8.79E-03	1.99E-01	1.99E-01		1.18E-01	1.60E-02	2.11E-01	2.11E-01		1.11E-01	3.52E-02	2.27E-01	2.27E-01		1.04E-01	5.40E-02	2.38E-01	2.38E-01		9.81E-02	7.25E-02	2.44E-01	2.44E-01		9.19E-02	9.08E-02	2.49E-01	2.49E-01		8.51E-02	1.08E-01	2.36E-01	2.36E-01		7.74E-02	1.24E-01	8.01E-02	8.01E-02		6.95E-02	1.39E-01	1.78E-02	1.78E-02		6.18E-02	1.54E-01	-4.14E-02	-4.14E-02		5.66E-02	1.84E-01	-9.92E-02	-9.92E-02
-7.66E-03	2.00E-01	-9.40E-02	-9.40E-02		1.28E-02	1.84E-01	-7.75E-02	-7.75E-02		2.85E-02	1.76E-01	-5.31E-02	-5.31E-02		4.38E-02	1.60E-01	-3.25E-02	-3.25E-02		5.92E-02	1.38E-01	-1.36E-02	-1.36E-02		7.44E-02	1.12E-01	-1.98E-03	-1.98E-03		8.88E-02	8.11E-02	5.93E-02	5.93E-02		1.02E-01	4.65E-02	1.95E-01	1.95E-01		1.14E-01	1.06E-02	2.23E-01	2.23E-01		1.25E-01	-2.61E-02	2.16E-01	2.16E-01		1.49E-01	-7.61E-02	1.78E-01	1.78E-01
-1.06E-01	2.14E-02	1.09E-02	1.09E-02		-1.18E-01	-3.99E-02	-5.86E-03	-5.86E-03		-1.30E-01	-8.48E-02	-2.62E-02	-2.62E-02		-1.39E-01	-1.22E-01	-4.26E-02	-4.26E-02		-1.46E-01	-1.50E-01	-5.69E-02	-5.69E-02		-1.51E-01	-1.66E-01	-7.09E-02	-7.09E-02		-1.52E-01	-1.67E-01	-4.16E-02	-4.16E-02		-1.49E-01	-1.54E-01	-7.40E-02	-7.40E-02		-1.42E-01	-1.29E-01	-2.16E-02	-2.16E-02		-1.34E-01	-9.28E-02	4.88E-02	4.88E-02		-1.27E-01	-3.81E-02	1.03E-01	1.03E-01
1.38E-01	-1.43E-01	1.40E-02	1.40E-02		1.30E-01	-1.35E-01	1.32E-02	1.32E-02		1.23E-01	-1.08E-01	1.30E-02	1.30E-02		1.12E-01	-6.49E-02	1.26E-02	1.26E-02		9.78E-02	-1.26E-02	7.69E-03	7.69E-03		7.94E-02	4.20E-02	1.55E-03	1.55E-03		5.77E-02	9.02E-02	-3.25E-02	-3.25E-02		3.36E-02	1.25E-01	-1.17E-02	-1.17E-02		8.14E-03	1.42E-01	-3.82E-02	-3.82E-02		-1.74E-02	1.38E-01	-3.31E-02	-3.31E-02		-5.08E-02	1.06E-01	-9.58E-03	-9.58E-03
-8.81E-02	-2.25E-02	-5.06E-03	-5.06E-03		-6.15E-02	4.46E-02	3.28E-05	3.28E-05		-3.76E-02	8.82E-02	1.02E-06	1.02E-06		-1.18E-02	1.11E-01	3.53E-03	3.53E-03		1.49E-02	1.09E-01	1.37E-02	1.37E-02		4.09E-02	8.20E-02	2.99E-02	2.99E-02		6.47E-02	3.61E-02	3.25E-03	3.25E-03		8.46E-02	-1.83E-02	-1.63E-02	-1.63E-02		9.91E-02	-6.82E-02	-2.83E-03	-2.83E-03		1.08E-01	-1.03E-01	6.52E-03	6.52E-03		1.12E-01	-1.09E-01	1.08E-02	1.08E-02
1.11E-02	7.50E-02	-1.23E-03	-1.23E-03		-2.05E-02	7.50E-02	1.62E-03	1.62E-03		-4.40E-02	4.14E-02	5.63E-03	5.63E-03		-6.42E-02	-6.07E-03	2.31E-03	2.31E-03		-7.91E-02	-5.09E-02	-1.56E-03	-1.56E-03		-8.71E-02	-7.95E-02	-9.56E-04	-9.56E-04		-8.81E-02	-8.15E-02	8.70E-03	8.70E-03		-8.17E-02	-5.67E-02	-1.14E-03	-1.14E-03		-6.79E-02	-1.39E-02	-2.18E-02	-2.18E-02		-4.86E-02	3.34E-02	-1.60E-02	-1.60E-02		-1.89E-02	6.75E-02	9.27E-03	9.27E-03
3.62E-02	1.29E-02	-2.86E-03	-2.86E-03		5.75E-02	-3.05E-02	-6.38E-03	-6.38E-03		6.46E-02	-5.38E-02	-3.12E-03	-3.12E-03		6.53E-02	-5.31E-02	2.35E-03	2.35E-03		5.81E-02	-2.91E-02	1.42E-03	1.42E-03		4.40E-02	7.36E-03	-1.10E-02	-1.10E-02		2.52E-02	4.01E-02	7.38E-04	7.38E-04		3.50E-03	5.48E-02	6.10E-03	6.10E-03		-1.85E-02	4.56E-02	6.13E-03	6.13E-03		-3.79E-02	1.65E-02	-1.25E-02	-1.25E-02		-5.11E-02	-2.17E-02	-1.15E-02	-1.15E-02
-3.74E-02	-1.85E-02	5.63E-03	5.63E-03		-4.31E-02	-2.60E-02	2.89E-03	2.89E-03		-3.43E-02	-4.95E-03	-3.26E-03	-3.26E-03		-2.13E-02	1.85E-02	-5.45E-03	-5.45E-03		-4.48E-03	3.08E-02	-2.08E-03	-2.08E-03		1.28E-02	2.58E-02	3.65E-04	3.65E-04		2.81E-02	6.18E-03	1.62E-03	1.62E-03		3.95E-02	-1.63E-02	5.32E-04	5.32E-04		4.44E-02	-2.92E-02	3.67E-03	3.67E-03		4.23E-02	-2.54E-02	1.91E-03	1.91E-03		2.60E-02	-7.35E-04	-3.50E-03	-3.50E-03
1.53E-02	2.24E-04	-2.50E-03	-2.50E-03		1.14E-02	8.33E-03	8.68E-04	8.68E-04		-4.12E-05	1.21E-02	1.89E-03	1.89E-03		-1.17E-02	7.46E-03	-3.72E-04	-3.72E-04		-2.11E-02	-2.15E-03	-4.17E-03	-4.17E-03		-2.59E-02	-9.80E-03	1.50E-03	1.50E-03		-2.62E-02	-9.95E-03	3.26E-03	3.26E-03		-2.21E-02	-3.42E-03	-6.45E-04	-6.45E-04		-1.34E-02	5.06E-03	2.46E-04	2.46E-04		-2.44E-03	9.36E-03	-4.63E-04	-4.63E-04		6.91E-03	-2.96E-03	-7.75E-05	-7.75E-05
-7.43E-04	-1.28E-02	-5.48E-04	-5.48E-04		4.75E-03	-1.55E-03	1.64E-05	1.64E-05		9.31E-03	4.35E-04	7.40E-07	7.40E-07		1.27E-02	2.61E-03	1.91E-03	1.91E-03		1.23E-02	2.90E-03	2.52E-03	2.52E-03		8.72E-03	2.31E-04	9.06E-05	9.06E-05		3.84E-03	-3.23E-03	-1.46E-03	-1.46E-03		-1.78E-03	-4.23E-03	5.11E-03	5.11E-03		-6.88E-03	-1.42E-03	-1.70E-03	-1.70E-03		-9.64E-03	3.32E-03	-4.95E-04	-4.95E-04		-1.07E-03	1.66E-02	2.21E-03	2.21E-03
3.57E-03	-9.02E-03	1.35E-04	1.35E-04		-1.34E-03	9.12E-03	-6.00E-04	-6.00E-04		-1.14E-03	1.14E-02	1.17E-03	1.17E-03		-1.49E-03	1.58E-03	-3.77E-05	-3.77E-05		-5.52E-04	-1.02E-02	2.30E-03	2.30E-03		1.79E-04	-1.18E-02	2.59E-03	2.59E-03		4.23E-04	-1.09E-03	-3.96E-03	-3.96E-03		8.60E-04	1.14E-02	2.98E-03	2.98E-03		6.15E-04	1.24E-02	3.77E-03	3.77E-03		-1.23E-04	3.40E-04	-6.36E-03	-6.36E-03		-1.31E-03	-2.25E-02	2.96E-03	2.96E-03
-1.23E-02	1.98E-02	7.37E-04	7.37E-04		-5.29E-03	9.38E-03	-7.74E-04	-7.74E-04		-3.06E-03	-8.77E-03	-5.74E-04	-5.74E-04		3.19E-04	-1.67E-02	8.48E-04	8.48E-04		3.41E-03	-4.53E-03	-1.07E-03	-1.07E-03		6.02E-03	1.36E-02	-3.36E-04	-3.36E-04		6.49E-03	1.56E-02	-6.68E-04	-6.68E-04		4.45E-03	-1.41E-03	-5.07E-03	-5.07E-03		1.21E-03	-1.70E-02	5.66E-03	5.66E-03		-2.80E-03	-1.24E-02	-3.96E-04	-3.96E-04		-1.29E-02	1.55E-02	-5.07E-03	-5.07E-03
1.31E-02	1.01E-02	8.71E-05	8.71E-05		2.72E-03	-1.50E-02	1.07E-03	1.07E-03		-3.47E-03	-1.32E-02	-8.18E-04	-8.18E-04		-7.96E-03	7.11E-03	-6.93E-04	-6.93E-04		-9.80E-03	1.76E-02	-2.20E-04	-2.20E-04		-8.14E-03	3.71E-03	-3.42E-03	-3.42E-03		-2.89E-03	-1.55E-02	1.57E-03	1.57E-03		3.56E-03	-1.34E-02	9.92E-05	9.92E-05		8.71E-03	7.42E-03	-3.16E-03	-3.16E-03		1.09E-02	1.83E-02	4.39E-03	4.39E-03		1.08E-02	-2.36E-03	-3.94E-03	-3.94E-03
-4.23E-03	-1.30E-02	-9.86E-04	-9.86E-04		5.83E-03	-6.61E-03	-1.83E-04	-1.83E-04		1.06E-02	1.23E-02	4.17E-04	4.17E-04		1.04E-02	1.19E-02	-8.54E-04	-8.54E-04		5.95E-03	-7.08E-03	-4.17E-04	-4.17E-04		-1.28E-03	-1.52E-02	3.70E-04	3.70E-04		-8.24E-03	5.99E-04	5.07E-04	5.07E-04		-1.15E-02	1.55E-02	-1.14E-03	-1.14E-03		-9.74E-03	6.03E-03	-3.68E-04	-3.68E-04		-3.77E-03	-1.30E-02	1.12E-04	1.12E-04		7.37E-03	-6.85E-03	2.75E-05	2.75E-05
-5.28E-03	-5.83E-03	6.41E-04	6.41E-04		-1.02E-02	1.12E-02	3.65E-06	3.65E-06		-9.01E-03	5.65E-03	3.67E-07	3.67E-07		-3.23E-03	-9.77E-03	5.55E-04	5.55E-04		4.09E-03	-7.86E-03	-5.78E-04	-5.78E-04		9.57E-03	7.98E-03	2.56E-03	2.56E-03		1.02E-02	9.75E-03	6.58E-05	6.58E-05		5.66E-03	-5.53E-03	3.13E-04	3.13E-04		-1.72E-03	-1.11E-02	-1.42E-03	-1.42E-03		-8.32E-03	2.85E-03	1.71E-03	1.71E-03		-1.15E-02	8.03E-03	-1.97E-03	-1.97E-03
8.00E-03	4.29E-03	-3.83E-05	-3.83E-05		6.77E-03	2.22E-03	-2.52E-04	-2.52E-04		1.43E-03	-7.63E-03	2.55E-04	2.55E-04		-4.70E-03	-2.56E-03	1.22E-04	1.22E-04		-8.20E-03	7.27E-03	8.96E-04	8.96E-04		-7.07E-03	2.83E-03	-2.55E-04	-2.55E-04		-1.86E-03	-7.07E-03	6.72E-04	6.72E-04		4.44E-03	-3.19E-03	-4.57E-04	-4.57E-04		8.18E-03	6.90E-03	-1.04E-03	-1.04E-03		7.29E-03	3.50E-03	9.80E-04	9.80E-04		6.08E-04	-4.22E-03	-9.31E-04	-9.31E-04
-4.74E-03	1.19E-03	7.15E-05	7.15E-05		-6.92E-04	-4.30E-03	6.81E-05	6.81E-05		3.70E-03	-5.36E-04	-8.88E-05	-8.88E-05		5.77E-03	4.27E-03	8.64E-05	8.64E-05		4.14E-03	-6.08E-05	4.24E-04	4.24E-04		-1.37E-04	-4.20E-03	-1.18E-03	-1.18E-03		-4.33E-03	6.45E-04	5.63E-05	5.63E-05		-5.77E-03	3.94E-03	6.39E-04	6.39E-04		-3.50E-03	-1.28E-03	3.63E-04	3.63E-04		9.53E-04	-3.68E-03	-3.09E-04	-3.09E-04		4.52E-03	6.92E-04	2.69E-04	2.69E-04
